Row,Positive,Negative,Comparative,Username,Tweet,Date,URL
1,0,0,0,@epatient101,"Project LEAD: science training program for breast cancer activists epnt.&#8203;in/1C&#8203;FWMTp    from @deadline2020  #epatient ","Wed, Jul 1, 2015, 9:31 AM",https://twitter.com/epatient101/status/616282878213795840
2,0,0,0,@waqas8777,"Now beware of the Mixed Blessings of Mobile Health, Medical Apps - t.co/&#8203;dqKPG&#8203;0vTJZ     #mhealth  #patient -generated #data  #epatient ","Wed, Jul 1, 2015, 9:24 AM",https://twitter.com/waqas8777/status/616281207135809537
3,0,0,0,@misracnig,"RT @ePatient101 : 9 Tips for Sharing Information with Your Doctor epnt.&#8203;in/1F&#8203;M6G5T    via @medivizor  #epatient ","Wed, Jul 1, 2015, 8:08 AM",https://twitter.com/misracnig/status/616262023874236416
4,0,0,0,@louise_schaper,"How to take charge of your medical records on.ws&#8203;j.com&#8203;/1GGK&#8203;gE6    via @WSJ  #epatient  #medx  @s4pm ","Wed, Jul 1, 2015, 7:58 AM",https://twitter.com/louise_schaper/status/616259575956639744
5,0,0,0,@fxrwde,"RT @ePatient101 : 9 Tips for Sharing Information with Your Doctor epnt.&#8203;in/1F&#8203;M6G5T    via @medivizor  #epatient ","Wed, Jul 1, 2015, 7:29 AM",https://twitter.com/fxrwde/status/616252296608018432
6,0,0,0,@advancedincp,"RT @ePatient101 : SCAD Heart: Patient-Initiated Research in Action @katherinekleon  @SCADalliance  epnt.&#8203;in/1K&#8203;m6aC5    via @medivizor  #epat …","Wed, Jul 1, 2015, 7:16 AM",https://twitter.com/advancedincp/status/616248947779219456
7,0,0,0,@givoly,"RT @ePatient101 : SCAD Heart: Patient-Initiated Research in Action @katherinekleon  @SCADalliance  epnt.&#8203;in/1K&#8203;m6aC5    via @medivizor  #epat …","Wed, Jul 1, 2015, 7:12 AM",https://twitter.com/givoly/status/616248111803949056
8,0,0,0,@givoly,"RT @ePatient101 : 9 Tips for Sharing Information with Your Doctor epnt.&#8203;in/1F&#8203;M6G5T    via @medivizor  #epatient ","Wed, Jul 1, 2015, 7:12 AM",https://twitter.com/givoly/status/616248018874974209
9,0,0,0,@orenfu,"RT @ePatient101 : SCAD Heart: Patient-Initiated Research in Action @katherinekleon  @SCADalliance  epnt.&#8203;in/1K&#8203;m6aC5    via @medivizor  #epat …","Wed, Jul 1, 2015, 7:09 AM",https://twitter.com/orenfu/status/616247152952500224
10,0,0,0,@orenfu,"RT @ePatient101 : 9 Tips for Sharing Information with Your Doctor epnt.&#8203;in/1F&#8203;M6G5T    via @medivizor  #epatient ","Wed, Jul 1, 2015, 7:08 AM",https://twitter.com/orenfu/status/616247106571862016
11,0,0,0,@malehealthdoc,"RT @ePatient101 : SCAD Heart: Patient-Initiated Research in Action @katherinekleon  @SCADalliance  epnt.&#8203;in/1K&#8203;m6aC5    via @medivizor  #epat …","Wed, Jul 1, 2015, 7:07 AM",https://twitter.com/malehealthdoc/status/616246802942038016
12,0,0,0,@malehealthdoc,"RT @ePatient101 : 9 Tips for Sharing Information with Your Doctor epnt.&#8203;in/1F&#8203;M6G5T    via @medivizor  #epatient ","Wed, Jul 1, 2015, 7:07 AM",https://twitter.com/malehealthdoc/status/616246684448768000
